,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
27,0.838,https://api.spotify.com/v1/audio-analysis/5Gnx5bNAglWcclJkuJnrys,0.756,60000,0.357,5Gnx5bNAglWcclJkuJnrys,1.36e-05,10,0.131,-6.298,0,0.0592,110.093,4,https://api.spotify.com/v1/tracks/5Gnx5bNAglWcclJkuJnrys,audio_features,spotify:track:5Gnx5bNAglWcclJkuJnrys,0.494
28,0.332,https://api.spotify.com/v1/audio-analysis/3aLMgdQGyb5Dd7rMbKSynB,0.914,60000,0.239,3aLMgdQGyb5Dd7rMbKSynB,0.000413,4,0.119,-8.597,0,0.155,100.237,4,https://api.spotify.com/v1/tracks/3aLMgdQGyb5Dd7rMbKSynB,audio_features,spotify:track:3aLMgdQGyb5Dd7rMbKSynB,0.258
29,0.816,https://api.spotify.com/v1/audio-analysis/43QHgtUoaHY7tRfhdCE4yn,0.659,60000,0.333,43QHgtUoaHY7tRfhdCE4yn,2.13e-05,9,0.114,-11.268,0,0.43,79.365,4,https://api.spotify.com/v1/tracks/43QHgtUoaHY7tRfhdCE4yn,audio_features,spotify:track:43QHgtUoaHY7tRfhdCE4yn,0.643
30,0.687,https://api.spotify.com/v1/audio-analysis/4kTkoT7mNXTJ21WwFTIDxA,0.702,60000,0.499,4kTkoT7mNXTJ21WwFTIDxA,2.28e-06,4,0.159,-6.828,0,0.151,167.079,4,https://api.spotify.com/v1/tracks/4kTkoT7mNXTJ21WwFTIDxA,audio_features,spotify:track:4kTkoT7mNXTJ21WwFTIDxA,0.227
31,0.0227,https://api.spotify.com/v1/audio-analysis/0WpDeBJ22LcwF4QoERQOTv,0.894,60000,0.61,0WpDeBJ22LcwF4QoERQOTv,0.00744,4,0.102,-5.691,0,0.0487,136.64,4,https://api.spotify.com/v1/tracks/0WpDeBJ22LcwF4QoERQOTv,audio_features,spotify:track:0WpDeBJ22LcwF4QoERQOTv,0.78
32,0.0377,https://api.spotify.com/v1/audio-analysis/6pmoQSAU9y2EIz6ee2hBwc,0.819,60000,0.318,6pmoQSAU9y2EIz6ee2hBwc,9.47e-05,9,0.0471,-7.313,1,0.0423,179.972,4,https://api.spotify.com/v1/tracks/6pmoQSAU9y2EIz6ee2hBwc,audio_features,spotify:track:6pmoQSAU9y2EIz6ee2hBwc,0.981
33,0.749,https://api.spotify.com/v1/audio-analysis/4iFgO0Rmg5hXcPpM3RpayS,0.565,60000,0.601,4iFgO0Rmg5hXcPpM3RpayS,0.0,0,0.275,-3.876,1,0.0307,95.096,4,https://api.spotify.com/v1/tracks/4iFgO0Rmg5hXcPpM3RpayS,audio_features,spotify:track:4iFgO0Rmg5hXcPpM3RpayS,0.66
34,0.71,https://api.spotify.com/v1/audio-analysis/4x4cclsdcnzWphsjJzD4Bs,0.767,60000,0.488,4x4cclsdcnzWphsjJzD4Bs,0.0,0,0.158,-4.412,1,0.078,179.874,3,https://api.spotify.com/v1/tracks/4x4cclsdcnzWphsjJzD4Bs,audio_features,spotify:track:4x4cclsdcnzWphsjJzD4Bs,0.502
35,0.503,https://api.spotify.com/v1/audio-analysis/0IUWe1lprVhev4JwubwNMF,0.832,60000,0.793,0IUWe1lprVhev4JwubwNMF,0.00108,6,0.0901,-5.023,1,0.0392,139.982,4,https://api.spotify.com/v1/tracks/0IUWe1lprVhev4JwubwNMF,audio_features,spotify:track:0IUWe1lprVhev4JwubwNMF,0.919
36,0.22,https://api.spotify.com/v1/audio-analysis/2PsjiKghYKF3k13NOIiFFW,0.941,60000,0.656,2PsjiKghYKF3k13NOIiFFW,1.06e-05,0,0.121,-8.178,1,0.154,109.908,4,https://api.spotify.com/v1/tracks/2PsjiKghYKF3k13NOIiFFW,audio_features,spotify:track:2PsjiKghYKF3k13NOIiFFW,0.382
37,0.576,https://api.spotify.com/v1/audio-analysis/1hXuODVWe5E3GEouSN9HtC,0.779,60000,0.294,1hXuODVWe5E3GEouSN9HtC,5.98e-05,1,0.108,-7.251,1,0.253,145.356,4,https://api.spotify.com/v1/tracks/1hXuODVWe5E3GEouSN9HtC,audio_features,spotify:track:1hXuODVWe5E3GEouSN9HtC,0.235
38,0.649,https://api.spotify.com/v1/audio-analysis/0IShCbw4JJEpcmZiTwAena,0.792,60000,0.605,0IShCbw4JJEpcmZiTwAena,0.0,1,0.0994,-9.781,1,0.641,89.804,4,https://api.spotify.com/v1/tracks/0IShCbw4JJEpcmZiTwAena,audio_features,spotify:track:0IShCbw4JJEpcmZiTwAena,0.352
39,0.662,https://api.spotify.com/v1/audio-analysis/0vUuBXZGymDmcVFuf6SicJ,0.815,60000,0.219,0vUuBXZGymDmcVFuf6SicJ,0.0,11,0.106,-12.898,0,0.512,119.977,5,https://api.spotify.com/v1/tracks/0vUuBXZGymDmcVFuf6SicJ,audio_features,spotify:track:0vUuBXZGymDmcVFuf6SicJ,0.162
40,0.00889,https://api.spotify.com/v1/audio-analysis/2LQb3iYBzoxbxct2IexjBc,0.377,141000,0.506,2LQb3iYBzoxbxct2IexjBc,1.15e-06,11,0.482,-4.773,0,0.157,145.254,4,https://api.spotify.com/v1/tracks/2LQb3iYBzoxbxct2IexjBc,audio_features,spotify:track:2LQb3iYBzoxbxct2IexjBc,0.787
41,0.513,https://api.spotify.com/v1/audio-analysis/6GsLY75eZHnOAWFqdKmZ4b,0.58,104427,0.722,6GsLY75eZHnOAWFqdKmZ4b,0.0,1,0.405,-5.686,1,0.271,47.917,5,https://api.spotify.com/v1/tracks/6GsLY75eZHnOAWFqdKmZ4b,audio_features,spotify:track:6GsLY75eZHnOAWFqdKmZ4b,0.777
42,0.437,https://api.spotify.com/v1/audio-analysis/0xUbrvxYljD4OZ02BbuPpK,0.326,66120,0.923,0xUbrvxYljD4OZ02BbuPpK,0.0,10,0.385,-2.946,0,0.431,170.949,4,https://api.spotify.com/v1/tracks/0xUbrvxYljD4OZ02BbuPpK,audio_features,spotify:track:0xUbrvxYljD4OZ02BbuPpK,0.799
43,0.0109,https://api.spotify.com/v1/audio-analysis/2KrHM3YwVwewEAxss7iuj7,0.518,113787,0.706,2KrHM3YwVwewEAxss7iuj7,6.5e-05,8,0.496,-5.148,1,0.227,128.26,4,https://api.spotify.com/v1/tracks/2KrHM3YwVwewEAxss7iuj7,audio_features,spotify:track:2KrHM3YwVwewEAxss7iuj7,0.418
44,0.712,https://api.spotify.com/v1/audio-analysis/0LppLsxXXDBTqihx84BJGo,0.547,106853,0.679,0LppLsxXXDBTqihx84BJGo,0.0,1,0.154,-6.374,1,0.383,79.618,4,https://api.spotify.com/v1/tracks/0LppLsxXXDBTqihx84BJGo,audio_features,spotify:track:0LppLsxXXDBTqihx84BJGo,0.558
45,0.0219,https://api.spotify.com/v1/audio-analysis/4HJ4L8hpX9YjTwipKTYwaW,0.319,101987,0.751,4HJ4L8hpX9YjTwipKTYwaW,0.151,11,0.515,-2.801,1,0.0619,69.79,4,https://api.spotify.com/v1/tracks/4HJ4L8hpX9YjTwipKTYwaW,audio_features,spotify:track:4HJ4L8hpX9YjTwipKTYwaW,0.474
46,0.00525,https://api.spotify.com/v1/audio-analysis/5uLZ3YIQGC0mOk6q3lJ6Ng,0.417,165120,0.731,5uLZ3YIQGC0mOk6q3lJ6Ng,0.0352,11,0.621,-4.989,1,0.265,134.003,1,https://api.spotify.com/v1/tracks/5uLZ3YIQGC0mOk6q3lJ6Ng,audio_features,spotify:track:5uLZ3YIQGC0mOk6q3lJ6Ng,0.575
47,0.0381,https://api.spotify.com/v1/audio-analysis/2O2l5DJirlZAwLwpOAVbXR,0.512,94547,0.576,2O2l5DJirlZAwLwpOAVbXR,0.0365,8,0.198,-4.238,0,0.283,75.978,4,https://api.spotify.com/v1/tracks/2O2l5DJirlZAwLwpOAVbXR,audio_features,spotify:track:2O2l5DJirlZAwLwpOAVbXR,0.319
48,0.38,https://api.spotify.com/v1/audio-analysis/77Zm1VR4gVmpUL9n7QOcmD,0.396,59293,0.859,77Zm1VR4gVmpUL9n7QOcmD,0.0,7,0.672,-3.365,1,0.298,59.64,4,https://api.spotify.com/v1/tracks/77Zm1VR4gVmpUL9n7QOcmD,audio_features,spotify:track:77Zm1VR4gVmpUL9n7QOcmD,0.658
49,0.171,https://api.spotify.com/v1/audio-analysis/1mAEQbdq0dZQWfujWG6rCd,0.459,85840,0.864,1mAEQbdq0dZQWfujWG6rCd,2.95e-06,1,0.683,-2.163,1,0.263,106.175,4,https://api.spotify.com/v1/tracks/1mAEQbdq0dZQWfujWG6rCd,audio_features,spotify:track:1mAEQbdq0dZQWfujWG6rCd,0.703
50,0.453,https://api.spotify.com/v1/audio-analysis/1L0UPMI58AfRHG7wsUklFA,0.274,93733,0.941,1L0UPMI58AfRHG7wsUklFA,1.68e-05,0,0.543,-1.551,0,0.197,92.175,4,https://api.spotify.com/v1/tracks/1L0UPMI58AfRHG7wsUklFA,audio_features,spotify:track:1L0UPMI58AfRHG7wsUklFA,0.456
51,0.0308,https://api.spotify.com/v1/audio-analysis/2EQMxDwbcaaGIKb7EPDfLF,0.354,119587,0.897,2EQMxDwbcaaGIKb7EPDfLF,2.13e-05,10,0.629,-2.262,0,0.249,77.871,3,https://api.spotify.com/v1/tracks/2EQMxDwbcaaGIKb7EPDfLF,audio_features,spotify:track:2EQMxDwbcaaGIKb7EPDfLF,0.771
