,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
3272,2.87e-05,https://api.spotify.com/v1/audio-analysis/04BSvYghzdxjSJNpee36er,0.413,200147,0.969,04BSvYghzdxjSJNpee36er,0.000753,4,0.371,-2.599,0,0.119,0,164.999,4,https://api.spotify.com/v1/tracks/04BSvYghzdxjSJNpee36er,audio_features,spotify:track:04BSvYghzdxjSJNpee36er,0.374
3273,0.0904,https://api.spotify.com/v1/audio-analysis/7pMVB2oz4Q4SlfTvvevNro,0.678,303133,0.556,7pMVB2oz4Q4SlfTvvevNro,0.0334,0,0.0866,-7.423,1,0.0281,0,85.158,4,https://api.spotify.com/v1/tracks/7pMVB2oz4Q4SlfTvvevNro,audio_features,spotify:track:7pMVB2oz4Q4SlfTvvevNro,0.405
3274,0.0647,https://api.spotify.com/v1/audio-analysis/0KDaN0HL3TcJVTbXlQCEsS,0.575,244667,0.886,0KDaN0HL3TcJVTbXlQCEsS,0.000187,5,0.709,-5.182,1,0.034,0,96.308,4,https://api.spotify.com/v1/tracks/0KDaN0HL3TcJVTbXlQCEsS,audio_features,spotify:track:0KDaN0HL3TcJVTbXlQCEsS,0.608
3275,0.00141,https://api.spotify.com/v1/audio-analysis/5SrnKN9CdGLLHIOUQMHNod,0.297,174760,0.989,5SrnKN9CdGLLHIOUQMHNod,0.000167,10,0.0911,-4.945,1,0.111,0,168.893,4,https://api.spotify.com/v1/tracks/5SrnKN9CdGLLHIOUQMHNod,audio_features,spotify:track:5SrnKN9CdGLLHIOUQMHNod,0.323
3276,0.414,https://api.spotify.com/v1/audio-analysis/0ZSmRnXnP5fdANtVlCok1g,0.398,230880,0.547,0ZSmRnXnP5fdANtVlCok1g,0.00143,0,0.146,-6.846,1,0.0261,0,73.396,4,https://api.spotify.com/v1/tracks/0ZSmRnXnP5fdANtVlCok1g,audio_features,spotify:track:0ZSmRnXnP5fdANtVlCok1g,0.305
3277,0.000932,https://api.spotify.com/v1/audio-analysis/2wdEXKLcuU7B0M2gqFmABH,0.513,258920,0.877,2wdEXKLcuU7B0M2gqFmABH,0.000163,8,0.136,-3.756,1,0.0292,0,145.919,4,https://api.spotify.com/v1/tracks/2wdEXKLcuU7B0M2gqFmABH,audio_features,spotify:track:2wdEXKLcuU7B0M2gqFmABH,0.389
3278,0.000731,https://api.spotify.com/v1/audio-analysis/0n2RMFCf3wfKJ9h3E3BKO8,0.441,219320,0.815,0n2RMFCf3wfKJ9h3E3BKO8,0.0,3,0.414,-4.088,1,0.0276,0,164.021,4,https://api.spotify.com/v1/tracks/0n2RMFCf3wfKJ9h3E3BKO8,audio_features,spotify:track:0n2RMFCf3wfKJ9h3E3BKO8,0.522
3279,8.67e-05,https://api.spotify.com/v1/audio-analysis/4QJLKU75Rg4558f4LbDBRi,0.485,249067,0.911,4QJLKU75Rg4558f4LbDBRi,0.0,3,0.092,-5.749,1,0.0355,0,89.956,4,https://api.spotify.com/v1/tracks/4QJLKU75Rg4558f4LbDBRi,audio_features,spotify:track:4QJLKU75Rg4558f4LbDBRi,0.568
3280,0.000696,https://api.spotify.com/v1/audio-analysis/0G53JYumT2vVxRGOtROlXk,0.518,238173,0.797,0G53JYumT2vVxRGOtROlXk,0.0,6,0.107,-5.153,1,0.0309,0,132.915,4,https://api.spotify.com/v1/tracks/0G53JYumT2vVxRGOtROlXk,audio_features,spotify:track:0G53JYumT2vVxRGOtROlXk,0.293
3281,0.0459,https://api.spotify.com/v1/audio-analysis/6n9yCXvLhnYMgJIiIcMu7D,0.616,252040,0.91,6n9yCXvLhnYMgJIiIcMu7D,0.0,0,0.343,-3.004,1,0.0386,0,144.073,4,https://api.spotify.com/v1/tracks/6n9yCXvLhnYMgJIiIcMu7D,audio_features,spotify:track:6n9yCXvLhnYMgJIiIcMu7D,0.693
